folder_name,noise_level,nlm_h,nlm_tws,nlm_sws,gb_kernel,clahe_cl,clahe_tgs,thresh_bs,thresh_c,morphx_kernel,kernel_open,kernel_close
AT,43.74709719854491,19,29,42,"(3,3)",1.5,"(20,20)",33,20.1,"(2,2)","(2,2)","(5,5)"
AT,46.38573857385739,15,19,99,"(3,3)",1,"(3,3)",25,17,"(2,2)","(2,2)","(5,5)"
AT,47.389456469068,20,29,42,"(3,3)",1.0,"(20,20)",33,20.1,"(2,2)","(2,2)","(5,5)"
AT,49.70864460005071,17,19,55,"(3,3)",1,"(15,15)",25,19,"(2,2)","(2,2)","(5,5)"
AT,52.40688446872102,23,29,42,"(3,3)",1.0,"(20,20)",33,20.1,"(2,2)","(2,2)","(5,5)"
AT,53.368469569394215,19,29,42,"(3,3)",4,"(20,20)",33,23,"(3,3)","(2,2)","(7,7)"
RO,15.754526745173317,14,19,26,"(3,3)",2.4,"(24,24)",11,4.9,"(3,3)","(2,2)","(5,6)"
RO,33.36215556012145,7,29,42,"(3,3)",2.2,"(20,20)",33,9.1,"(2,2)","(2,2)","(5,5)"
RO,33.665987515735104,11,30,42,"(3,3)",2.2,"(20,20)",33,9.1,"(2,2)","(2,2)","(5,5)"
RO,35.036940176528276,12,29,42,"(3,3)",2.2,"(20,20)",43,11.9,"(2,2)","(2,2)","(5,5)"
RO,40.14930375367584,7,29,42,"(3,3)",2.2,"(20,20)",33,9.1,"(2,2)","(2,2)","(5,5)"
SI,26.48271875380309,7,29,42,"(3,3)",2.2,"(20,20)",33,9.1,"(2,2)","(2,2)","(5,5)"
SI,26.715517727298348,7,29,42,"(3,3)",2.2,"(20,20)",33,9.1,"(2,2)","(2,2)","(5,5)"
SI,33.361481963593526,10,29,42,"(3,3)",2.2,"(25,25)",35,9.2,"(2,2)","(2,2)","(5,5)"
SI,34.82636885162429,12,31,42,"(3,3)",2.2,"(20,20)",33,9.1,"(2,2)","(2,2)","(5,5)"
SI,37.46499831405492,7,29,42,"(3,3)",2.2,"(25,25)",35,9.2,"(2,2)","(2,2)","(5,5)"
AT,51.343919366148725,25,29,42,"(3,3)",2.1,"(27,27)",27,9.1,"(2,2)","(2,2)","(5,5)"
AT,57.56028569408104,24,19,55,"(3,3)",1,"(3,3)",43,21,"(2,2)","(2,2)","(5,5)"
AT,48.04559793518784,22,29,42,"(3,3)",1.1,"(20,20)",19,9.1,"(2,2)","(2,2)","(5,5)"
AT,54.18924570575056,28,9,42,"(3,3)",1.7,"(20,20)",33,19.9,"(3,3)","(2,2)","(7,7)"
