folder_name,noise_level,nlm_h,nlm_tws,nlm_sws,gb_kernel,clahe_cl,clahe_tgs,thresh_bs,thresh_c,morphx_kernel,kernel_open,kernel_close
HU,30.059747745643524,29,29,42,"(3,3)",2.3,"(20,20)",41,9.1,"(2,2)","(2,2)","(5,5)"
PL,32.84923852848101,23,29,42,"(3,3)",2.9,"(20,20)",43,11.9,"(2,2)","(2,2)","(5,5)"
PL,31.331986191799277,22,29,42,"(3,3)",2.5,"(20,20)",43,11.9,"(2,2)","(2,2)","(5,5)"
HU,32.545634005024866,22,29,42,"(3,3)",2.3,"(20,20)",41,9.1,"(2,2)","(2,2)","(5,5)"
HU,32.56346300006909,22,29,42,"(3,3)",2.3,"(20,20)",41,9.1,"(2,2)","(2,2)","(5,5)"
HU,36.44090044272072,22,29,42,"(3,3)",2.3,"(20,20)",41,9.1,"(2,2)","(2,2)","(5,5)"
HU,32.401715745126715,15,29,42,"(3,3)",2.3,"(20,20)",41,9.1,"(2,2)","(2,2)","(5,5)"
HU,35.927781827016524,15,29,42,"(3,3)",2.3,"(20,20)",41,9.1,"(2,2)","(2,2)","(5,5)"
PL,31.648324289818067,12,30,42,"(3,3)",2.2,"(20,20)",33,9.1,"(2,2)","(2,2)","(6,5)"
HU,32.50708774865217,15,29,42,"(3,3)",2.3,"(20,20)",41,9.1,"(2,2)","(2,2)","(5,5)"
HU,33.50615137857188,13,29,42,"(3,3)",2.3,"(20,20)",55,17,"(2,2)","(2,2)","(5,5)"
HU,32.93405546501768,9,29,42,"(3,3)",2.3,"(20,20)",33,10.1,"(2,2)","(2,2)","(5,5)"
HU,34.03668310727497,10,29,42,"(3,3)",2.2,"(20,20)",51,10.1,"(2,2)","(2,2)","(5,5)"
HR,34.23257095618628,15,29,42,"(3,3)",0.2,"(25,25)",95,9.1,"(2,2)","(2,2)","(5,5)"
HR,25.411762053794508,11,29,42,"(3,3)",2.2,"(20,20)",33,9.1,"(2,2)","(2,2)","(5,5)"
HR,34.20281359906213,15,29,42,"(3,3)",0.2,"(25,25)",95,9.1,"(2,2)","(2,2)","(5,5)"
HR,27.247151040096472,13,29,42,"(3,3)",2.2,"(20,20)",59,13.1,"(2,2)","(2,2)","(5,5)"
HR,33.387888707037646,12,29,42,"(3,3)",2.2,"(20,20)",45,11.1,"(2,2)","(2,2)","(5,5)"
HR,25.62266626299324,13,29,42,"(3,3)",2.2,"(20,20)",33,9.1,"(2,2)","(2,2)","(5,5)"
HR,27.706517103921385,13,29,42,"(3,3)",2.2,"(20,20)",59,13.1,"(2,2)","(2,2)","(5,5)"
HR,30.279197058858077,5,29,43,"(3,3)",2.3,"(30,30)",55,11.1,"(2,2)","(2,2)","(5,5)"
HR,27.031015108632666,13,29,42,"(3,3)",2.2,"(20,20)",39,11.1,"(2,2)","(2,2)","(5,5)"
RO,32.79465689846956,11,29,42,"(3,3)",2.2,"(20,20)",39,9.1,"(2,2)","(3,3)","(5,5)"
RO,32.42401518524594,9,29,42,"(3,3)",2.2,"(20,20)",33,9.1,"(2,2)","(2,2)","(5,5)"
RO,34.13762258150013,11,29,42,"(3,3)",2.2,"(20,20)",33,9.1,"(2,2)","(2,2)","(5,5)"
RO,31.782930144060884,9,29,42,"(3,3)",2.2,"(20,20)",33,9.1,"(2,2)","(2,2)","(5,5)"
RO,28.98451534796532,9,29,42,"(3,3)",2.2,"(20,20)",33,9.1,"(2,2)","(2,2)","(5,5)"
RO,29.09893043137401,7,29,42,"(3,3)",2.2,"(20,20)",33,9.1,"(2,2)","(2,2)","(5,5)"
RO,29.435817649013625,7,29,42,"(3,3)",2.2,"(20,20)",33,9.1,"(2,2)","(2,2)","(5,5)"
RO,28.871442535006366,9,29,42,"(3,3)",2.2,"(20,20)",33,9.1,"(2,2)","(2,2)","(5,5)"
RO,34.12018546573016,14,29,42,"(3,3)",4.9,"(5,5)",73,15.2,"(2,2)","(2,2)","(5,5)"
RO,35.40038477734295,7,29,42,"(3,3)",2.2,"(20,20)",33,9.1,"(2,2)","(2,2)","(5,5)"
RO,37.23340187188908,12,29,42,"(3,3)",2.2,"(20,20)",33,9.1,"(2,2)","(2,2)","(5,5)"
RO,37.28116300649552,9,29,42,"(3,3)",2.2,"(20,20)",33,9.1,"(2,2)","(2,2)","(5,5)"
RO,42.51691095612918,13,29,42,"(3,3)",2.3,"(5,5)",53,14.2,"(2,2)","(2,2)","(5,5)"
RO,36.611042944785275,14,29,42,"(3,3)",2.2,"(20,20)",33,9.1,"(2,2)","(2,2)","(5,5)"
RO,40.50566343042071,14,29,42,"(3,3)",2.9,"(5,5)",37,11.2,"(2,2)","(2,2)","(5,5)"
RO,41.7745702820866,10,29,42,"(3,3)",1.7,"(5,5)",53,11.2,"(2,2)","(2,2)","(5,5)"
RO,37.11741596221166,13,29,42,"(3,3)",2.9,"(5,5)",53,11.2,"(2,2)","(2,2)","(5,5)"
RO,40.89956531686113,12,29,42,"(3,3)",2.9,"(5,5)",53,11.2,"(2,2)","(2,2)","(5,5)"
RO,41.36253742303565,11,29,42,"(3,3)",2.9,"(5,5)",37,11.2,"(2,2)","(2,2)","(5,5)"
RO,32.476648782747745,8,34,42,"(3,3)",2.9,"(25,25)",33,9.1,"(2,2)","(2,2)","(5,5)"
RO,37.45092351408951,10,34,42,"(3,3)",2.9,"(25,25)",33,9.1,"(2,2)","(2,2)","(5,5)"
RO,40.61121225101735,11,29,42,"(3,3)",2.9,"(5,5)",37,11.2,"(2,2)","(2,2)","(5,5)"
RO,36.77267113926334,12,34,42,"(3,3)",2.9,"(25,25)",33,9.1,"(2,2)","(2,2)","(5,5)"
RO,39.68751666400043,11,29,42,"(3,3)",2.9,"(5,5)",37,11.2,"(2,2)","(2,2)","(5,5)"
RO,42.18316726031026,13,29,42,"(3,3)",2.9,"(5,5)",33,11.2,"(2,2)","(2,2)","(5,5)"
RO,39.80445566480645,13,29,42,"(3,3)",2.9,"(5,5)",33,11.2,"(2,2)","(2,2)","(5,5)"
RO,40.303175515941476,13,29,42,"(3,3)",2.9,"(5,5)",33,11.2,"(2,2)","(2,2)","(5,5)"
RO,40.794619470314316,13,29,42,"(3,3)",2.9,"(5,5)",33,11.2,"(2,2)","(2,2)","(5,5)"
RO,42.899564320110066,13,29,42,"(3,3)",2.9,"(5,5)",33,11.2,"(2,2)","(2,2)","(5,5)"
RO,38.02783517685669,11,29,42,"(3,3)",5.0,"(35,35)",55,15.2,"(2,2)","(2,2)","(5,5)"
RO,38.7025807595947,12,29,43,"(3,3)",2.2,"(20,20)",39,9.1,"(2,2)","(3,3)","(5,5)"
RO,37.23069733952027,7,29,43,"(3,3)",2.2,"(20,20)",39,9.1,"(2,2)","(3,3)","(5,5)"
RO,34.86722571628232,7,29,43,"(3,3)",2.2,"(20,20)",39,9.1,"(2,2)","(3,3)","(5,5)"
RO,30.951645575470028,13,29,43,"(3,3)",2.2,"(20,20)",39,9.1,"(2,2)","(3,3)","(5,5)"
RO,36.713734773717434,12,29,42,"(3,3)",5.0,"(30,30)",87,19.2,"(2,2)","(2,2)","(5,5)"
RO,35.50423792513476,9,29,42,"(3,3)",5.0,"(30,30)",87,21.2,"(2,2)","(2,2)","(5,5)"
RO,34.72345302615464,11,29,42,"(3,3)",5.0,"(30,30)",87,21.2,"(2,2)","(2,2)","(5,5)"
RO,29.18946348664483,10,29,42,"(3,3)",2.2,"(20,20)",33,9.1,"(2,2)","(2,2)","(5,5)"
RO,32.72128366326037,10,29,42,"(3,3)",2.2,"(20,20)",33,9.1,"(2,2)","(2,2)","(5,5)"
RO,36.27770897832817,10,29,42,"(3,3)",5.0,"(30,30)",87,21.2,"(2,2)","(2,2)","(5,5)"
RO,35.47943537162476,8,21,26,"(3,3)",2.4,"(24,24)",11,4.9,"(3,3)","(2,2)","(5,6)"
RO,35.22319982726978,8,21,26,"(3,3)",2.4,"(24,24)",11,4.9,"(3,3)","(2,2)","(5,6)"
RO,38.267460233856525,11,29,42,"(3,3)",2.7,"(30,30)",55,21.2,"(2,2)","(2,2)","(5,5)"
RO,44.466786714685874,19,21,26,"(3,3)",2.4,"(24,24)",11,4.9,"(3,3)","(2,2)","(5,6)"
RO,39.429529612444455,10,29,42,"(3,3)",2.7,"(30,30)",55,23.2,"(2,2)","(2,2)","(5,5)"
RO,44.57553628480146,14,19,26,"(3,3)",2.4,"(24,24)",11,4.9,"(3,3)","(2,2)","(5,6)"
RO,34.83657941871491,12,19,26,"(3,3)",2.4,"(24,24)",11,4.9,"(3,3)","(2,2)","(5,6)"
RO,39.59813971580898,10,29,42,"(3,3)",2.7,"(30,30)",55,23.2,"(2,2)","(2,2)","(5,5)"
RO,38.054312077471224,12,29,42,"(3,3)",2.9,"(30,30)",55,21.2,"(2,2)","(2,2)","(5,5)"
RO,38.13480225025571,12,29,42,"(3,3)",2.9,"(30,30)",55,21.2,"(2,2)","(2,2)","(5,5)"
RO,32.50639724231274,10,31,45,"(3,3)",2.9,"(20,20)",43,11.9,"(2,2)","(3,3)","(6,6)"
